UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
DF,BRASILIA,UBS 1 LAGO NORTE,SHIN QI 3,3,LAGO NORTE,"SHIN QI 3, LAGO NORTE, BRASILIA, DF, BRASIL",-15.7262152,-47.8734968,"SHIN QI 3, Lago Norte, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, 71503-501, Brasil","15 43m 34.3747s S, 47 52m 24.5885s W"
DF,BRASILIA,UBS 01 SIA CPP,SIA TRECHO 04,1600,GUARA,"SIA TRECHO 04, GUARA, BRASILIA, DF, BRASIL",-15.80139,-47.96103,"Sia Trecho 4, Sia, Guará - DF, Brasil","15 48m 5.004s S, 47 57m 39.708s W"
DF,BRASILIA,UBS 02 AGUAS CLARAS,QS 06 AREAL,S/N,AREAL,"QS 06 AREAL, AREAL, BRASILIA, DF, BRASIL",-15.86216935,-48.020818047871636,"Pista de corrida Park Areal, Areal, Vila Areal, Arniqueiras, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, Brasil","15 51m 43.8097s S, 48 1m 14.945s W"
DF,BRASILIA,UBS 1 BRAZLANDIA,ENTRE QUADRA 6 8 AREA ESPECIAL 3 SETOR NORTE,3,SETOR NORTE,"ENTRE QUADRA 6 8 AREA ESPECIAL 3 SETOR NORTE, SETOR NORTE, BRASILIA, DF, BRASIL",-15.831729999999999,-48.08103,"Qnl 1 Área Especial 3, Setor L Norte, Taguatinga - DF, 72150-100, Brasil","15 49m 54.228s S, 48 4m 51.708s W"
DF,BRASILIA,UBS 4 CEILANDIA,QNN,16,CEILANDIA SUL,"QNN, CEILANDIA SUL, BRASILIA, DF, BRASIL",-15.835236100000001,-48.10205887397869,"QNN 8, Ceilândia Sul, Ceilândia, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, Brasil","15 50m 6.84996s S, 48 6m 7.41195s W"
DF,BRASILIA,UBS 04 RECANTO DAS EMAS,QUADRA 308 AREA ESPECIAL,2,RECANTO DAS EMAS,"QUADRA 308 AREA ESPECIAL, RECANTO DAS EMAS, BRASILIA, DF, BRASIL",-15.912289999999999,-48.10288,"Quadra 112 Área Especial 1, Recanto das Emas - DF, 72602-402, Brasil","15 54m 44.244s S, 48 6m 10.368s W"
DF,BRASILIA,UBS 2 ITAPOA,AREA ESPECIAL ENTRE QUADRA 61 318,0,ITAPOA,"AREA ESPECIAL ENTRE QUADRA 61 318, ITAPOA, BRASILIA, DF, BRASIL",-15.74479,-47.771679999999996,"Quadra 318 Conjunto C del Lago Itapuã, 73340, Brasília","15 44m 41.244s S, 47 46m 18.048s W"
DF,BRASILIA,UBS 11 RESIDENCIAL DO BOSQUE 2 SAO SEBASTIAO,RUA 26 CJ B CASA,17,RESIDENCIAL DO BOSQU,"RUA 26 CJ B CASA, RESIDENCIAL DO BOSQU, BRASILIA, DF, BRASIL",-15.912139999999999,-47.751740000000005,UBS 11 Residencial do Bosque 2 São Sebastião,"15 54m 43.704s S, 47 45m 6.264s W"
DF,BRASILIA,UBS 1 GAMA,EQ 6 12 AREAS ESPECIAIS,S/N,SETOR SUL GAMA,"EQ 6 12 AREAS ESPECIAIS, SETOR SUL GAMA, BRASILIA, DF, BRASIL",-16.012610000000002,-48.078359999999996,"Eq 20/23 Áreas Especiais Caic, Gama - DF, 72420-200, Brasil","16 0m 45.396s S, 48 4m 42.096s W"
DF,BRASILIA,UBS 2 CRUZEIRO,SRES LOTE,4,CRUZEIRO VELHO,"SRES LOTE, CRUZEIRO VELHO, BRASILIA, DF, BRASIL",-15.789270000000002,-47.932559999999995,"Cruzeiro, DF, Brasil","15 47m 21.372s S, 47 55m 57.216s W"
DF,BRASILIA,UBS 02 GUARA,QE 23 AREA ESPECIAL,1,GUARA II,"QE 23 AREA ESPECIAL, GUARA II, BRASILIA, DF, BRASIL",-15.82526,-47.97355,"Qe 23 Área Especial S/N, Guará - DF, 71025-050, Brasil","15 49m 30.936s S, 47 58m 24.78s W"
DF,BRASILIA,UBS 01 CANDANGOLANDIA,EQ 5 7 AREA ESPECIAL CANDANGOLANDIA,1,CANDANGOLANDIA,"EQ 5 7 AREA ESPECIAL CANDANGOLANDIA, CANDANGOLANDIA, BRASILIA, DF, BRASIL",-15.85617,-47.946059999999996,"Candangolândia, Candangolândia, DF, Brasil","15 51m 22.212s S, 47 56m 45.816s W"
DF,BRASILIA,UBS 07 TAGUATINGA,QNM 36 AREA ESPECIAL N,10,TAGUATINGA NORTE,"QNM 36 AREA ESPECIAL N, TAGUATINGA NORTE, BRASILIA, DF, BRASIL",-15.80725,-48.108259999999994,"Qnm 14 Área Especial a, Setor L Norte, Taguatinga - DF, 71910-360, Brasil","15 48m 26.1s S, 48 6m 29.736s W"
DF,BRASILIA,UBS 8 SANTA MARIA,EQ 417 517 MODULO E,0,SANTA MARIA,"EQ 417 517 MODULO E, SANTA MARIA, BRASILIA, DF, BRASIL",-16.0078,-47.99003,"EQ 217/317 Módulo E, Santa Maria - DF, 72547-300, Brasil","16 0m 28.08s S, 47 59m 24.108s W"
DF,BRASILIA,UBS 5 PLANALTINA,QUADRA 12 D CONJUNTO A AREA ESPECIAL,0,PLANALTINA,"QUADRA 12 D CONJUNTO A AREA ESPECIAL, PLANALTINA, BRASILIA, DF, BRASIL",-15.616729999999999,-47.63532,"Quadra 19 Conjunto A Área Especial 1, Planaltina - DF, 73357-020, Brasil","15 37m 0.228s S, 47 38m 7.152s W"
DF,BRASILIA,UBS 5 NOVA BETANIA SAO SEBASTIAO,DF 140 KM,75,SAO SEBASTIAO,"DF 140 KM, SAO SEBASTIAO, BRASILIA, DF, BRASIL",-16.020793400000002,-47.8012768,"DF-140;DF-436, Barreiro I, São Sebastião, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, 71686-650, Brasil","16 1m 14.8562s S, 47 48m 4.59648s W"
DF,BRASILIA,UBS 7 CEILANDIA,QNO 10 AREA ESPECIAL D E,10,SETOR O,"QNO 10 AREA ESPECIAL D E, SETOR O, BRASILIA, DF, BRASIL",-15.857660000000001,-48.04347,"Cse 3 Área Especial Lote D, Setor E Sul, Taguatinga - DF, Brasil","15 51m 27.576s S, 48 2m 36.492s W"
DF,BRASILIA,UBS 1 PARANOA,QD 21 AREA ESPECIAL CONJUNTO 15,15,PARANOA,"QD 21 AREA ESPECIAL CONJUNTO 15, PARANOA, BRASILIA, DF, BRASIL",-15.769829999999999,-47.78053,"Quadra 21 Conjunto e, Paranoá - DF, 71572-105, Brasil","15 46m 11.388s S, 47 46m 49.908s W"
DF,BRASILIA,UBS 02 SAMAMBAIA,QS 611 AREA ESPECIAL N 2,S/N,SAMAMBAIA NORTE,"QS 611 AREA ESPECIAL N 2, SAMAMBAIA NORTE, BRASILIA, DF, BRASIL",-15.8625,-48.09489,"Qs 601 Área Especial 2, Samambaia - DF, 72331-500, Brasil","15 51m 45s S, 48 5m 41.604s W"
DF,BRASILIA,UBS 16 PDF I SAO SEBASTIAO,ROD DF 465 KM,4,SAO SEBASTIAO,"ROD DF 465 KM, SAO SEBASTIAO, BRASILIA, DF, BRASIL",-15.907689999999999,-47.80165,"DF-465, São Sebastião - DF, 71686-670, Brasil","15 54m 27.684s S, 47 48m 5.94s W"
DF,BRASILIA,UBS 01 RIACHO FUNDO I,QN 07 AREA ESPECIAL 09 RIACHO FUNDO I,9,RIACHO FUNDO,"QN 07 AREA ESPECIAL 09 RIACHO FUNDO I, RIACHO FUNDO, BRASILIA, DF, BRASIL",-15.87853,-48.019909999999996,"Qn 7 Área Especial 1, Riacho Fundo I, Riacho Fundo - DF, Brasil","15 52m 42.708s S, 48 1m 11.676s W"
DF,BRASILIA,UBS 17 JARDIM MORUMBI PLANALTINA,NR JARDIM MORUMBI ROD DF 128 KM 4 GLEBA N CHAC,15,PLANALTINA,"NR JARDIM MORUMBI ROD DF 128 KM 4 GLEBA N CHAC, PLANALTINA, BRASILIA, DF, BRASIL",-15.620389999999999,-47.67261,"DF-128, Planaltina - DF, 73380-150, Brasil","15 37m 13.404s S, 47 40m 21.396s W"
