UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
RJ,PINHEIRAL,UNIDADE DE SAUDE DA FAMILIA SAO JORGE,AVENIDA NILTON PENNA BOTELHO,436,SAO JORGE,"AVENIDA NILTON PENNA BOTELHO, SAO JORGE, PINHEIRAL, RJ, BRASIL",-22.49583,-44.01475,"Avenida Nilton Penna Botelho, 27197-000, Pinheiral","22 29m 44.988s S, 44 0m 53.1s W"
RJ,PINHEIRAL,UNIDADE DE SAUDE DA FAMILIA TRES POCOS,RUA EUCLIDES VICENTINI,5135,TRES POCOS,"RUA EUCLIDES VICENTINI, TRES POCOS, PINHEIRAL, RJ, BRASIL",-22.500088,-44.0314382,"Rua Euclides Vicentini, Três Poços, Pinheiral, Região Geográfica Imediata de Volta Redonda-Barra Mansa, Região Geográfica Intermediária de Volta Redonda-Barra Mansa, Rio de Janeiro, Região Sudeste, 27240-620, Brasil","22 30m 0.3168s S, 44 1m 53.1775s W"
RJ,PINHEIRAL,UNIDADE SAUDE DA FAMILIA DO CRUZEIRO,RUA JOAQUIM MUNIZ,287,CRUZEIRO II,"RUA JOAQUIM MUNIZ, CRUZEIRO II, PINHEIRAL, RJ, BRASIL",-22.5185,-44.00708,"Rua Joaquim Muniz, 27197-000, Pinheiral","22 31m 6.6s S, 44 0m 25.488s W"
RJ,PINHEIRAL,UNIDADE DE SAUDE DA FAMILIA ACIOLLY RIBEIRO DO NASCIMENTO,RUA TANCREDO NEVES,48,CENTRO,"RUA TANCREDO NEVES, CENTRO, PINHEIRAL, RJ, BRASIL",-22.48975,-44.02619,"Rua Tancredo A. Neves, 27197-000, Pinheiral","22 29m 23.1s S, 44 1m 34.284s W"
RJ,PINHEIRAL,UNIDADE DE SAUDE DA FAMILIA AREA RURAL,RODOVIA BENJAMIN CONSTANT,4705,ZONA RURAL,"RODOVIA BENJAMIN CONSTANT, ZONA RURAL, PINHEIRAL, RJ, BRASIL",-22.55123,-44.0049,"Rodovia Benjamin Constant, 27197-000, Pinheiral","22 33m 4.428s S, 44 0m 17.64s W"
RJ,PINHEIRAL,UNIDADE DA SAUDE DA FAMILIA PARQUE MAIRA,RUA TERRA NOVA,S/N,PQ MAIRA,"RUA TERRA NOVA, PQ MAIRA, PINHEIRAL, RJ, BRASIL",-22.48859,-44.0252,"Rua Terra Nova, 27197-000, Pinheiral","22 29m 18.924s S, 44 1m 30.72s W"
RJ,PIRAI,UNIDADE DE SAUDE DE RIBEIRAO DAS LAJES,RIBEIRAO DAS LAJES,120,RIBEIRAO DAS LAJES,"RIBEIRAO DAS LAJES, RIBEIRAO DAS LAJES, PIRAI, RJ, BRASIL",-22.81236,-43.62448,"Rua Ribeirão das Lajes, 26298, Nova Iguaçu","22 48m 44.496s S, 43 37m 28.128s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA JAQUEIRA,RUA B,415,JAQUEIRA,"RUA B, JAQUEIRA, PIRAI, RJ, BRASIL",-22.36503,-43.86718,"Rua B, Barra do Piraí","22 21m 54.108s S, 43 52m 1.848s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA SANTANESIA,RUA MANOEL TEIXEIRA CAMPOS,S/N,QUEROSENE,"RUA MANOEL TEIXEIRA CAMPOS, QUEROSENE, PIRAI, RJ, BRASIL",-22.52518,-43.8197,"Rua Manoel Teixeira Campos Júnior, Piraí","22 31m 30.648s S, 43 49m 10.92s W"
RJ,PIRAI,UNIDADE DE SAUDE DA SERRA DO MATOSO,ESTRADA DO CACADOR,S/N,SERRA DO MATOSO,"ESTRADA DO CACADOR, SERRA DO MATOSO, PIRAI, RJ, BRASIL",-22.45583,-43.84414,"Rua Doutor Romeu Serra de Carvalho, Barra do Piraí","22 27m 20.988s S, 43 50m 38.904s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA PONTE DAS LARANJEIRAS,RUA BEIRA LAGO,73,P DAS LARANJEIRAS,"RUA BEIRA LAGO, P DAS LARANJEIRAS, PIRAI, RJ, BRASIL",-22.60803,-43.87045,"Rua José Ferreira, 27175-000, Piraí","22 36m 28.908s S, 43 52m 13.62s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA CACARIA,ESTRADA DA CACARIA,590,CACARIA,"ESTRADA DA CACARIA, CACARIA, PIRAI, RJ, BRASIL",-22.70655,-43.83203,"Estrada da Cacaria, Piraí","22 42m 23.58s S, 43 49m 55.308s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA DA CASA AMARELA,RUA BULHOES DE CARVALHO,347,CASA AMARELA,"RUA BULHOES DE CARVALHO, CASA AMARELA, PIRAI, RJ, BRASIL",-22.62316,-43.88828,"Rua Bulhões de Carvalho, 27175-000, Piraí","22 37m 23.376s S, 43 53m 17.808s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA VARJAO,RUA VARJAO,186,VARJAO,"RUA VARJAO, VARJAO, PIRAI, RJ, BRASIL",-22.5737513,-43.9718282,"Rua Varjão, Arrozal, Piraí, Região Geográfica Imediata de Volta Redonda-Barra Mansa, Região Geográfica Intermediária de Volta Redonda-Barra Mansa, Rio de Janeiro, Região Sudeste, Brasil","22 34m 25.5047s S, 43 58m 18.5815s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA ROSA MACHADO,RUA D,49,ROSA MACHADO,"RUA D, ROSA MACHADO, PIRAI, RJ, BRASIL",-22.57082,-43.82825,"Rua Antônio da Rosa Machado Júnior, Piraí","22 34m 14.952s S, 43 49m 41.7s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA PIRAI,RUA HELIO SENA,31,CENTRO,"RUA HELIO SENA, CENTRO, PIRAI, RJ, BRASIL",-22.62835,-43.90416,"Rua Hélio Sena, 27175-000, Piraí","22 37m 42.06s S, 43 54m 14.976s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA CAICARA,RUA DA REPRESA,79,CAICARAS,"RUA DA REPRESA, CAICARAS, PIRAI, RJ, BRASIL",-22.66197,-43.84843,"Avenida Caiçaras & Rua da Represa, 27175, Piraí","22 39m 43.092s S, 43 50m 54.348s W"
RJ,PIRAI,UNIDADE DE SAUDE DA FAMILIA DE ARROZAL,RUA ISAURA ROSA,58,ARROZAL,"RUA ISAURA ROSA, ARROZAL, PIRAI, RJ, BRASIL",-22.599423100000003,-44.0406358,"Rua Isaura Rosa, Arrozal, Piraí, Região Geográfica Imediata de Volta Redonda-Barra Mansa, Região Geográfica Intermediária de Volta Redonda-Barra Mansa, Rio de Janeiro, Região Sudeste, 27185-000, Brasil","22 35m 57.9232s S, 44 2m 26.2889s W"
RJ,PORCIUNCULA,MODULO PSF OLIVIA PERES ILHA,RUA FRANCISCO GOMES DE ARAUJO,33,BOA VISTA,"RUA FRANCISCO GOMES DE ARAUJO, BOA VISTA, PORCIUNCULA, RJ, BRASIL",-20.97083,-42.04163,"Rua Francisco Gomes de Araújo, 28390-000, Porciúncula","20 58m 14.988s S, 42 2m 29.868s W"
RJ,PORCIUNCULA,MODULO PSF SANTO ANTONIO,RUA ACHILES VIEIRA FOLLY,S/N,STO ANTONIO,"RUA ACHILES VIEIRA FOLLY, STO ANTONIO, PORCIUNCULA, RJ, BRASIL",-20.95631,-42.03369,"Rua Emília Vieira Folly, 28390-000, Porciúncula","20 57m 22.716s S, 42 2m 1.284s W"
